name,week_k_max,rsi_max,require_k_cross,require_macd_improve,require_close_ma20,require_twii_ma20,stop_loss,take_profit,max_hold,trades_train,win_rate_train,avg_return_train,profit_factor_train,max_drawdown_train,cagr_train,total_return_train,trades_test,win_rate_test,avg_return_test,profit_factor_test,max_drawdown_test,cagr_test,total_return_test,score,description,wf_windows,wf_positive_windows,wf_median_pf,wf_median_return,final_score
S05910,40,40,False,True,False,False,0.05,0.15,20,16,0.625,0.05012690595753293,4.021410778262406,-0.1041173813965447,0.11374601209979329,1.086109839292233,5,0.8,0.08281740832745592,8.842854684595617,-0.05279800000000001,0.2538050405183807,0.46623766836380365,15.349117793214054,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利15%｜最長20日,4,4,4.064611069561453,0.4423215432429617,15.899117793214055
S05911,40,40,False,True,False,False,0.05,0.15,30,16,0.625,0.05756413343966642,3.9073895950435693,-0.15017829481359346,0.13013244557908488,1.3047950671220252,5,0.6,0.07558652388829795,6.935488521678293,-0.05279800000000001,0.22748272118762536,0.41453371895239144,15.045626551471104,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利15%｜最長30日,4,4,4.365547988111196,0.4293722700957028,15.595626551471105
S05912,40,40,False,True,False,False,0.05,0.15,40,16,0.5625,0.054710293181822564,3.6338994359021646,-0.15017829481359346,0.1222338478401026,1.1970608946784478,5,0.6,0.07597134473614976,7.151597983381139,-0.05279800000000001,0.22889338033223194,0.4172853543598163,14.446769519649225,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利15%｜最長40日,4,4,3.9482175281115968,0.46614246158206285,14.996769519649225
S05909,40,40,False,True,False,False,0.05,0.15,10,17,0.6470588235294118,0.033144886191321395,3.0718695900834163,-0.06034601656399341,0.07886046558441318,0.6788166139701659,5,0.8,0.07347803135272785,7.95841048455697,-0.05279800000000001,0.2236580220173474,0.4070842581343681,13.19983314221821,周KD<40｜RSI<40｜MACD改善｜停損5%｜停利15%｜最長10日,4,4,3.484117584130043,0.38633455495986,13.749833142218211
S05922,40,40,False,True,False,False,0.07,0.15,20,16,0.625,0.0438769059575329,2.9210080723101455,-0.14155076596967808,0.09646985781215545,0.8749769722106759,5,0.8,0.07881740832745593,6.413432259640091,-0.07279800000000003,0.2359699082337987,0.43527832350676565,12.852561575549917,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利15%｜最長20日,4,4,2.949873834683797,0.3688136828484502,13.402561575549917
S05923,40,40,False,True,False,False,0.07,0.15,30,16,0.625,0.05006413343966638,2.8339014236532623,-0.20288115014183383,0.10912880872224884,1.0277893411679768,5,0.6,0.07158652388829795,5.277735846840795,-0.07279800000000003,0.21022808437283858,0.38466609369500415,12.609443300782853,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利15%｜最長30日,4,4,3.166188668319111,0.34135496837761037,13.159443300782854
S05924,40,40,False,True,False,False,0.07,0.15,40,16,0.5625,0.04721029318182253,2.669884301063814,-0.20288115014183394,0.10137700729836818,0.9330033839794143,5,0.6,0.07197134473614976,5.401956076961711,-0.07279800000000003,0.2116077452662073,0.3873596288153216,12.251364952872805,周KD<40｜RSI<40｜MACD改善｜停損7%｜停利15%｜最長40日,4,4,2.9312560214995154,0.3745138843387361,12.801364952872806
S06485,40,45,False,True,False,False,0.05,0.15,10,22,0.5909090909090909,0.024155996912713095,2.3860602987283284,-0.1365958562815307,0.07211370445135601,0.6170595504236236,6,0.8333333333333334,0.06917688868814753,8.861307855011267,-0.05279800000000001,0.25780531809242424,0.47416161855756833,11.779347293387172,周KD<40｜RSI<45｜MACD改善｜停損5%｜停利15%｜最長10日,4,4,3.031856298137627,0.3647081626503327,12.329347293387173
S06487,40,45,False,True,False,False,0.05,0.15,30,20,0.5,0.03549170675173313,2.3444337570261418,-0.2778030693940684,0.09367173876799884,0.8552512860269326,5,0.6,0.07558652388829795,6.935488521678293,-0.05279800000000001,0.22748272118762536,0.41453371895239144,11.607123707832763,周KD<40｜RSI<45｜MACD改善｜停損5%｜停利15%｜最長30日,4,4,3.8808657871923935,0.3209277108531954,12.157123707832763
S06486,40,45,False,True,False,False,0.05,0.15,20,21,0.5238095238095238,0.02969299803829085,2.30822347993924,-0.19622161419797313,0.0830281921632825,0.734154776678555,6,0.6666666666666666,0.06372297766672226,5.522183776334877,-0.05279800000000001,0.23012309919442497,0.4196858311054148,11.552741854255176,周KD<40｜RSI<45｜MACD改善｜停損5%｜停利15%｜最長20日,4,4,2.763308510787674,0.3669495592198052,12.102741854255177
